Method,0,SNR,PESQ,STOI,Runtime
dtln,,-0.5860266089439392,1.2958369255065918,0.5875766912291573,0.74
dtln,,0.6328827142715454,1.7011394500732422,0.6943410225502153,1.14
dtln,,1.0500045120716095,1.7055675983428955,0.6508993382291722,2.8
dtln,,1.9449231028556824,1.982426404953003,0.8034211572449956,0.87
dtln,,-0.737340897321701,1.7506322860717773,0.5832806209646763,1.07
dtln,,-0.05712762475013733,1.5631043910980225,0.6552348181436556,0.78
dtln,,0.9607863426208496,1.7250028848648071,0.6896128889641178,0.91
dtln,,0.5749846994876862,1.777484655380249,0.622892610193413,0.98
dtln,,-0.6319710612297058,1.9497947692871094,0.6077273567945788,0.8
dtln,,-0.2090415358543396,1.5210274457931519,0.595133108649934,1.02
dtln,,0.20546883344650269,1.4101617336273193,0.6025582272307389,0.97
dtln,,-1.3558320701122284,1.5549765825271606,0.5258791637616926,1.08
dtln,,2.6695331931114197,1.9440025091171265,0.7578937659124199,1.08
dtln,,0.0644063949584961,1.6891428232192993,0.5663800871258907,0.91
dtln,,3.645937144756317,1.5429823398590088,0.6540610004618422,0.88
dtln,,0.6585472822189331,1.576611876487732,0.599872402652099,0.91
dtln,,0.18979310989379883,1.7933599948883057,0.6912168345076907,1.07
dtln,,2.9861488938331604,2.0611958503723145,0.7652328470551548,0.9
dtln,,-0.17849087715148926,1.437961459159851,0.5680204499015324,1.08
dtln,,0.2115035057067871,1.6075022220611572,0.5439123188379398,0.8
dtln,,-0.3865876793861389,1.6256190538406372,0.5722809455062028,0.79
dtln,,-0.9971466660499573,1.7482906579971313,0.6301892945009,0.95
dtln,,0.307476669549942,1.3264529705047607,0.5703603777144592,0.95
dtln,,3.412455916404724,2.1318867206573486,0.7312012668189916,1.11
dtln,,-0.2913631498813629,1.7803369760513306,0.6074841556980316,0.93
dtln,,0.3653356432914734,1.594223141670227,0.6366602364773104,0.77
dtln,,0.99016934633255,1.6129889488220215,0.6684622483791733,0.8
dtln,,1.1348344385623932,1.8179306983947754,0.6780164436434546,0.91
dtln,,0.690758228302002,1.688879370689392,0.6742567796863309,0.86
